Input,fiName,url,elementType,id,cssClass,name,type,forLabel
P,Randolph Brooks FCU,https://www.rbfcu.org/NBO/loginSubmit.do,input,password,textbox,password,password,
U,Randolph Brooks FCU,https://www.rbfcu.org/NBO/loginSubmit.do,input,userField,textbox,username,text,
A,Regions Bank,https://securebank.regions.com/login.aspx?brand=regions,input,btnSignon,,btnSignon,image,
P,Regions Bank,https://securebank.regions.com/login.aspx?brand=regions,input,txtPassword,dataText,txtPassword,password,
U,Regions Bank,https://securebank.regions.com/login.aspx?brand=regions,input,txtOnlineID,dataText,txtOnlineID,text,
A,Regions Bank (AL/FL/LA/MS/TN),https://securebank.regions.com/login.aspx?brand=regions,input,btnSignon,,btnSignon,image,
P,Regions Bank (AL/FL/LA/MS/TN),https://securebank.regions.com/login.aspx?brand=regions,input,txtPassword,dataText,txtPassword,password,
U,Regions Bank (AL/FL/LA/MS/TN),https://securebank.regions.com/login.aspx?brand=regions,input,txtOnlineID,dataText,txtOnlineID,text,
A,Scotiabank,https://www1.scotiaonline.scotiabank.com/online/authentication/authentication.bns,input,signon_form:enter_sol,primary-button,signon_form:enter_sol,submit,
P,Scotiabank,https://www1.scotiaonline.scotiabank.com/online/authentication/authentication.bns,input,signon_form:password_0,signon-password autoTab,signon_form:password_0,password,
U,Scotiabank,https://www1.scotiaonline.scotiabank.com/online/authentication/authentication.bns,input,signon_form:userName,signon-username autoTab,signon_form:userName,text,
A,Scottrade,https://trading.scottrade.com/default.aspx,input,ctl00_body_btnLogin,login-primary-btn,ctl00$body$btnLogin,submit,
P,Scottrade,https://trading.scottrade.com/default.aspx,input,ctl00_body_txtPassword,,ctl00$body$txtPassword,password,
U,Scottrade,https://trading.scottrade.com/default.aspx,input,ctl00_body_txtAccountNumber,,ctl00$body$txtAccountNumber,text,
A,Simple,https://www.simple.com/signin,input,signin-btn,submit-btn optional,,submit,
P,Simple,https://www.simple.com/signin,input,login_password,validate-text,password,password,
U,Simple,https://www.simple.com/signin,input,login_username,validate-text validate-username validate-email-username,username,text,
A,South Carolina FCU,https://online.scfederal.org/,input,submitCredentials,primary-action,,submit,
P,South Carolina FCU,https://online.scfederal.org/,input,Password,control fill-horizontal,Password,password,
U,South Carolina FCU,https://online.scfederal.org/,input,UserName,control fill-horizontal,UserName,text,
A,Southwest Airlines Credit Card,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,logon,,,image,
P,Southwest Airlines Credit Card,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,Password,user-password,Password,password,
U,Southwest Airlines Credit Card,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,UserID,user-name,UserID,text,
A,State Employees Credit Union  NC,https://onlineaccess.ncsecu.org/,input,ucLogin_btnSubmit,SpecialButton,ucLogin$btnSubmit,submit,
P,State Employees Credit Union  NC,https://onlineaccess.ncsecu.org/,input,ucLogin_txtPassword,,ucLogin$txtPassword,password,
U,State Employees Credit Union  NC,https://onlineaccess.ncsecu.org/,input,ucLogin_txtUserID,,ucLogin$txtUserID,text,
A,State Employees CU of Maryland,https://online.secumd.org/,input,ctl00_ContentBody_btnLogin,htmlformsubmit,ctl00$ContentBody$btnLogin,image,
P,State Employees CU of Maryland,https://online.secumd.org/,input,ctl00_ContentBody_pwd,login-input htmlforminput,pwd,password,
U,State Employees CU of Maryland,https://online.secumd.org/,input,ctl00_ContentBody_userid,login-input htmlforminput,userid,text,
A,Target Credit Card,https://rcam.target.com/,input,Login_btnSignIn_btnSignIn,,Login$btnSignIn$btnSignIn,image,
P,Target Credit Card,https://rcam.target.com/,input,Login_Password,,Login$Password,password,
U,Target Credit Card,https://rcam.target.com/,input,Login_UserName,,Login$UserName,text,
A,Target Guest Card,https://rcam.target.com/,input,Login_btnSignIn_btnSignIn,,Login$btnSignIn$btnSignIn,image,
P,Target Guest Card,https://rcam.target.com/,input,Login_Password,,Login$Password,password,
U,Target Guest Card,https://rcam.target.com/,input,Login_UserName,,Login$UserName,text,
A,TD Canada Trust,https://easyweb.td.com/waw/idp/login.htm?execution=e1s1,input,login,td-button td-button-primary,,submit,
P,TD Canada Trust,https://easyweb.td.com/waw/idp/login.htm?execution=e1s1,input,login:Webpassword,accessCardField,login:Webpassword,password,
U,TD Canada Trust,https://easyweb.td.com/waw/idp/login.htm?execution=e1s1,input,login:AccessCard,accessCardField,login:AccessCard,text,
A,Texas Dow Employees Credit Union,https://secure8.onlineaccess1.com/TDECUOnline_40/Authentication/Login.aspx,input,submitAction,button default,,submit,
P,Texas Dow Employees Credit Union,https://secure8.onlineaccess1.com/TDECUOnline_40/Authentication/Login.aspx,input,passwordEdit,text,q2oPassword,password,
U,Texas Dow Employees Credit Union,https://secure8.onlineaccess1.com/TDECUOnline_40/Authentication/Login.aspx,input,loginIdEdit,text,q2oLoginID,text,
A,Trustmark National Bank,https://www.mytrustmark.com/TrustmarkNationalBankOnline_40/,input,submitAction,button default,,submit,
P,Trustmark National Bank,https://www.mytrustmark.com/TrustmarkNationalBankOnline_40/,input,passwordEdit,text,q2oPassword,password,
U,Trustmark National Bank,https://www.mytrustmark.com/TrustmarkNationalBankOnline_40/,input,loginIdEdit,text,q2oLoginID,text,
A,Trustone Financial,https://cm.netteller.com/trustonefinancialcm/Authentication/Views/Login.aspx?fi=trustonefinancial&bn=74725024b1c49e5c&burlid=ee5e25d20140ff5b,input,ctl00_PageContent_Login1_LoginButton,ColorButton,ctl00$PageContent$Login1$LoginButton,submit,
P,Trustone Financial,https://cm.netteller.com/trustonefinancialcm/Authentication/Views/Login.aspx?fi=trustonefinancial&bn=74725024b1c49e5c&burlid=ee5e25d20140ff5b,input,ctl00_PageContent_Login1_PasswordTextBox,LoginPwdTextBox,ctl00$PageContent$Login1$PasswordTextBox,password,
U,Trustone Financial,https://cm.netteller.com/trustonefinancialcm/Authentication/Views/Login.aspx?fi=trustonefinancial&bn=74725024b1c49e5c&burlid=ee5e25d20140ff5b,input,ctl00_PageContent_Login1_IdTextBox,LoginIdTextBox,ctl00$PageContent$Login1$IdTextBox,text,
A,United FCU,https://secure3.onlineaccess1.com/UnitedFederalCreditUnionOnline_41/Authentication/Login.aspx,input,submitAction,button default,,submit,
P,United FCU,https://secure3.onlineaccess1.com/UnitedFederalCreditUnionOnline_41/Authentication/Login.aspx,input,passwordEdit,text,q2oPassword,password,
U,United FCU,https://secure3.onlineaccess1.com/UnitedFederalCreditUnionOnline_41/Authentication/Login.aspx,input,loginIdEdit,text,q2oLoginID,text,
A,USAA Mobile,https://mobile.usaa.com/inet/ent_logon/Logon,input,,main-button,,submit,
P,USAA Mobile,https://mobile.usaa.com/inet/ent_logon/Logon,input,input_password,input-item,j_password,password,
U,USAA Mobile,https://mobile.usaa.com/inet/ent_logon/Logon,input,input_onlineid,input-item,j_username,text,
A,Volkswagen Credit,https://www.vwcredit.com/Authentication/Login,input,loginButton,btn-regular standard primary ,,submit,
P,Volkswagen Credit,https://www.vwcredit.com/Authentication/Login,input,password,,Password,password,
U,Volkswagen Credit,https://www.vwcredit.com/Authentication/Login,input,username,,Username,text,
A,VyStar Credit Union,https://online.vystarcu.org/VYCU/Login.aspx,input,SignonControl_LogOnButton,,SignonControl$LogOnButton,submit,
P,VyStar Credit Union,https://online.vystarcu.org/VYCU/Login.aspx,input,SignonControl_PasswordTextBox,,SignonControl$PasswordTextBox,password,
U,VyStar Credit Union,https://online.vystarcu.org/VYCU/Login.aspx,input,SignonControl_UserIdTextBox,,SignonControl$UserIdTextBox,text,
A,Wells Fargo Dealer Services,https://eservices.wellsfargodealerservices.com/MyAccount/Login.aspx,input,ScreenContent_ScreenContent_LoginButton,blueActionButton,ctl00$ctl00$ScreenContent$ScreenContent$LoginButton,submit,
P,Wells Fargo Dealer Services,https://eservices.wellsfargodealerservices.com/MyAccount/Login.aspx,input,ScreenContent_ScreenContent_txtPassword,,ctl00$ctl00$ScreenContent$ScreenContent$txtPassword,password,
U,Wells Fargo Dealer Services,https://eservices.wellsfargodealerservices.com/MyAccount/Login.aspx,input,ScreenContent_ScreenContent_txtUserID,,ctl00$ctl00$ScreenContent$ScreenContent$txtUserID,text,
A,Woodforest National Bank,https://online.woodforest.com/,input,challenge-commit,button,,submit,
P,Woodforest National Bank,https://online.woodforest.com/,input,password,shadow,password,password,
U,Woodforest National Bank,https://online.woodforest.com/,input,principal_name,shadow,principal,text,
